date,year,month,ym,sido_name,y_hat,base_daily,w_today,y_day_hat,risk_score,risk_level
2024-01-01,2024,1,2024-01,경기,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-02-01,2024,2,2024-02,경기,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-05-01,2024,5,2024-05,경기,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-08-01,2024,8,2024-08,경기,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-10-01,2024,10,2024-10,경기,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
