year,month,ym,sido_name,resp_rate_total,y_hat,error_abs,error_pct
2019,10,2019-10,경북,2541.7543112114004,2351.5980852932344,190.156225918166,7.481298451207801
2019,11,2019-11,경북,2828.595811724545,2351.5980852932344,476.99772643131064,16.86341061717452
2019,12,2019-12,경북,3377.289525687251,2863.3165969341007,513.9729287531504,15.218503620845508
2020,1,2020-01,경북,3746.805643400884,2863.3165969341007,883.4890464667833,23.579793844466987
2020,2,2020-02,경북,2601.472156741217,2863.3165969341007,261.84444019288367,10.065240925772121
2020,3,2020-03,경북,1379.6921555518202,2351.5980852932344,971.9059297414142,70.44368019565145
2020,4,2020-04,경북,1027.3272441828797,1434.7887012663634,407.46145708348377,39.66228476765185
2020,5,2020-05,경북,948.6703212069044,1121.4011091783173,172.73078797141284,18.20767279318527
2020,6,2020-06,경북,1063.7095960578774,1121.4011091783173,57.69151312043982,5.423614991746373
2020,7,2020-07,경북,1094.0616134411448,1121.4011091783173,27.339495737172456,2.498899093185595
2020,8,2020-08,경북,892.7908783717263,1121.4011091783173,228.61023080659095,25.60624624923708
2020,9,2020-09,경북,1237.5743512412675,810.4674655085745,427.10688573269306,34.51161421568826
2020,10,2020-10,경북,1384.3288204281976,1434.7887012663634,50.45988083816587,3.645079123799339
2020,11,2020-11,경북,1549.6856108470415,1434.7887012663634,114.89690958067808,7.414207680348575
2020,12,2020-12,경북,1392.2366336266043,1699.3188211381023,307.082187511498,22.056752429476507
2021,1,2021-01,경북,912.2552403873312,1434.7887012663634,522.5334608790322,57.27930492974439
2021,2,2021-02,경북,923.941508229648,810.4674655085745,113.47404272107349,12.281518008482982
2021,3,2021-03,경북,1228.200578016917,1121.4011091783173,106.79946883859975,8.695604834435171
2021,4,2021-04,경북,1370.501719339458,1434.7887012663634,64.28698192690536,4.690762588600751
2021,5,2021-05,경북,1171.5178357163904,1434.7887012663634,263.270865549973,22.472629739263102
2021,6,2021-06,경북,1068.8721057316116,1121.4011091783173,52.5290034467057,4.914432995774658
2021,7,2021-07,경북,854.4452546673208,1121.4011091783173,266.95585451099646,31.24317831397355
2021,8,2021-08,경북,794.5620460989699,810.4674655085745,15.905419409604633,2.0017844405852063
2021,9,2021-09,경북,1067.3260425575952,810.4674655085745,256.8585770490207,24.065615079860667
2021,10,2021-10,경북,1405.595669587222,1121.4011091783173,284.19456040890464,20.218798802386992
2021,11,2021-11,경북,1766.6057207927938,1434.7887012663634,331.8170195264304,18.782743405671866
2021,12,2021-12,경북,1476.5044968626848,1699.3188211381023,222.81432427541745,15.090663438469651
2022,1,2022-01,경북,1356.0897912213115,1699.3188211381023,343.22902991679075,25.31019937903038
2022,2,2022-02,경북,1774.2005609402804,1434.7887012663634,339.411859673917,19.130411022643205
2022,3,2022-03,경북,2983.0805060693438,2351.5980852932344,631.4824207761094,21.168802501015378
2022,4,2022-04,경북,2207.5206146811984,2863.3165969341007,655.7959822529024,29.707354843778432
2022,5,2022-05,경북,1507.161021597545,2351.5980852932344,844.4370636956894,56.02832421983762
2022,6,2022-06,경북,1183.222562828931,1699.3188211381023,516.0962583091714,43.617851325895316
2022,7,2022-07,경북,1388.1614813998076,1121.4011091783173,266.76037222149034,19.216811285708054
2022,8,2022-08,경북,1836.6217564793765,1434.7887012663634,401.83305521301304,21.878922744729298
2022,9,2022-09,경북,1696.924377347829,1794.5845749380344,97.66019759020537,5.755129627098719
2022,10,2022-10,경북,1951.6484090545052,1699.3188211381023,252.32958791640294,12.929049451004673
2022,11,2022-11,경북,2447.4530101627483,2351.5980852932344,95.85492486951398,3.9165174763923214
2022,12,2022-12,경북,3180.2828080224817,2351.5980852932344,828.6847227292474,26.056950678689116
2023,1,2023-01,경북,2487.173376831117,2863.3165969341007,376.14322010298383,15.12332126127147
2023,2,2023-02,경북,2025.1703766459975,2351.5980852932344,326.42770864723684,16.118530688161297
2023,3,2023-03,경북,2341.5380937139685,2351.5980852932344,10.059991579265898,0.42963177094033556
2023,4,2023-04,경북,2608.744292986087,2351.5980852932344,257.14620769285284,9.85708750314166
2023,5,2023-05,경북,2549.246813441483,2351.5980852932344,197.64872814824867,7.753220563269937
2023,6,2023-06,경북,1882.7592067550968,1794.5845749380344,88.17463181706239,4.6832665324754865
2023,7,2023-07,경북,1915.669064551796,1794.5845749380344,121.08448961376166,6.320741502504321
2023,8,2023-08,경북,1824.0389003377936,1794.5845749380344,29.454325399759227,1.614786033033867
2023,9,2023-09,경북,1836.8123428664287,1794.5845749380344,42.227767928394314,2.298970174737392
2023,10,2023-10,경북,2505.1161317939004,2351.5980852932344,153.51804650066606,6.128180827718058
2023,11,2023-11,경북,3030.3231828349367,2351.5980852932344,678.7250975417023,22.39777926612895
2023,12,2023-12,경북,3408.8079664130314,2863.3165969341007,545.4913694789307,16.00240831556528
2024,1,2024-01,경북,3104.0970145451265,2863.3165969341007,240.78041761102577,7.7568586446486965
2024,2,2024-02,경북,2370.352058514228,2863.3165969341007,492.96453841987295,20.797102128739077
2024,3,2024-03,경북,2477.541853817885,2351.5980852932344,125.94376852465075,5.083416384291218
2024,4,2024-04,경북,2307.118281934865,2351.5980852932344,44.47980335836928,1.9279377094210484
2024,5,2024-05,경북,2094.663318955882,2351.5980852932344,256.93476633735236,12.266160581139387
2024,6,2024-06,경북,1530.3591656859946,1794.5845749380344,264.22540925203975,17.265581516846
2024,7,2024-07,경북,1845.7777749804093,1699.3188211381023,146.45895384230698,7.934809695271223
2024,8,2024-08,경북,2322.398885689472,1794.5845749380344,527.8143107514377,22.727116948075032
2024,9,2024-09,경북,1703.0246793185852,1794.5845749380344,91.55989561944921,5.376310556819657
2024,10,2024-10,경북,2205.5062932501987,1699.3188211381023,506.18747211209643,22.951078111236797
2024,11,2024-11,경북,2491.654429653916,2351.5980852932344,140.05634436068158,5.621018014931349
2024,12,2024-12,경북,3059.2750843017097,2351.5980852932344,707.6769990084754,23.132179340126424
2018,2,2018-02,광주,2128.562640967808,2863.3165969341007,734.7539559662928,34.51878473410664
