max_depth,min_samples_leaf,MAE_train,RMSE_train,MAE_test,RMSE_test
3,10,319.09719378453116,425.1349857781127,322.8479991369151,408.56925140613043
3,20,319.97097771027694,425.5987843713551,324.11946150807404,409.8958323074666
5,20,256.8678812578386,355.59100498626464,325.3344046595084,411.0597713442221
4,20,281.3893966604552,382.2727822208393,322.0916857833255,414.4058264676133
4,10,285.55736216171977,379.9947787650566,321.8064075349339,418.9829856960327
5,10,237.13309678884687,326.1971213523016,349.432096246178,476.4062707288223
