sido_name,n_months,mean_error_pct,min_error_pct,max_error_pct
강원,79,16.374168373712074,0.8642931158637934,58.95416603445254
경기,73,20.712103850008095,0.016797439613875954,83.97344813589086
경남,82,17.351344711130093,0.35752130040929786,87.9475363514336
경북,83,16.009904862085737,0.14670136489832497,70.44368019565145
광주,82,19.90893240904238,0.6840938105363065,63.399623787888295
대구,82,21.200160031365456,0.49381623521651585,108.95396417156331
대전,83,19.573995056293548,0.4263990204328263,63.005474546577474
부산,69,18.132153392368487,0.30608018942036086,95.55638488428558
서울,82,21.46795940294752,0.045540969157253114,79.26673537916713
세종,66,34.52573012371134,1.2823131781073664,131.51523555177275
울산,82,18.841123628109184,0.6462911309407547,118.36379679518745
인천,80,17.57328353433707,0.10828972197805342,74.26977188303856
전남,62,17.404106178502047,0.14099923273112633,70.84394128122273
전북,78,17.16890200445897,0.030069990644162367,57.53428878751781
제주,83,17.09091341109209,0.42379671445662787,79.3750534379723
충남,79,16.010857167435653,0.16848891756580878,70.65840691148804
충북,83,16.166986760050197,0.34991697713190445,53.49235767339988
